name,supplier,observed_count,inferred_topk,missing_topk
PRO_001715,SUP_0122,2,"[""银行金融服务"", ""货币银行服务"", ""互联网居民生活服务"", ""医院"", ""其他农业"", ""数字政府"", ""专业公共卫生服务""]","[""货币银行服务"", ""互联网居民生活服务"", ""医院"", ""其他农业"", ""数字政府"", ""专业公共卫生服务""]"
PRO_000732,SUP_0053,1,"[""银行金融服务"", ""数字化商务服务"", ""金融信息服务"", ""人身保险"", ""数字社会"", ""汽车、摩托车、零配件和燃料及其他动力销售"", ""数字化社会工作"", ""房地产中介服务""]","[""数字化商务服务"", ""金融信息服务"", ""人身保险"", ""数字社会"", ""汽车、摩托车、零配件和燃料及其他动力销售"", ""数字化社会工作"", ""房地产中介服务""]"
PRO_000731,SUP_0053,1,"[""银行金融服务"", ""数字化商务服务"", ""金融信息服务"", ""人身保险"", ""数字社会"", ""汽车、摩托车、零配件和燃料及其他动力销售"", ""数字化社会工作"", ""房地产中介服务""]","[""数字化商务服务"", ""金融信息服务"", ""人身保险"", ""数字社会"", ""汽车、摩托车、零配件和燃料及其他动力销售"", ""数字化社会工作"", ""房地产中介服务""]"
PRO_000733,SUP_0053,1,"[""银行金融服务"", ""数字化商务服务"", ""金融信息服务"", ""人身保险"", ""数字社会"", ""汽车、摩托车、零配件和燃料及其他动力销售"", ""数字化社会工作"", ""房地产中介服务""]","[""数字化商务服务"", ""金融信息服务"", ""人身保险"", ""数字社会"", ""汽车、摩托车、零配件和燃料及其他动力销售"", ""数字化社会工作"", ""房地产中介服务""]"
PRO_000734,SUP_0053,2,"[""银行金融服务"", ""数字化商务服务"", ""人身保险"", ""数字社会"", ""汽车、摩托车、零配件和燃料及其他动力销售"", ""数字化社会工作"", ""房地产中介服务""]","[""数字化商务服务"", ""人身保险"", ""数字社会"", ""汽车、摩托车、零配件和燃料及其他动力销售"", ""数字化社会工作"", ""房地产中介服务""]"
PRO_000652,SUP_0038,1,"[""金融信息服务"", ""资本投资服务"", ""银行金融服务"", ""数字金融"", ""数字资本市场服务"", ""数字社会"", ""数字化商务服务""]","[""金融信息服务"", ""资本投资服务"", ""数字金融"", ""数字资本市场服务"", ""数字社会"", ""数字化商务服务""]"
PRO_000656,SUP_0038,2,"[""银行金融服务"", ""金融信息服务""]","[""银行金融服务""]"
PRO_000651,SUP_0038,1,"[""银行金融服务"", ""金融信息服务"", ""其他数字金融"", ""数字资本市场服务""]","[""银行金融服务"", ""其他数字金融"", ""数字资本市场服务""]"
PRO_000660,SUP_0038,1,"[""金融信息服务"", ""银行金融服务"", ""其他数字金融"", ""数字资本市场服务""]","[""金融信息服务"", ""其他数字金融"", ""数字资本市场服务""]"
PRO_000664,SUP_0038,1,"[""银行金融服务"", ""金融信息服务"", ""其他数字金融"", ""数字资本市场服务""]","[""银行金融服务"", ""其他数字金融"", ""数字资本市场服务""]"
PRO_000663,SUP_0038,1,"[""金融信息服务"", ""银行金融服务"", ""其他数字金融"", ""数字资本市场服务""]","[""金融信息服务"", ""其他数字金融"", ""数字资本市场服务""]"
PRO_000662,SUP_0038,1,"[""银行金融服务"", ""金融信息服务"", ""其他数字金融"", ""数字资本市场服务""]","[""银行金融服务"", ""其他数字金融"", ""数字资本市场服务""]"
PRO_000658,SUP_0038,1,"[""金融信息服务"", ""银行金融服务"", ""其他数字金融"", ""数字资本市场服务""]","[""金融信息服务"", ""其他数字金融"", ""数字资本市场服务""]"
PRO_000667,SUP_0039,2,"[""银行金融服务"", ""数字金融"", ""数字化零售"", ""供应链管理服务"", ""数字内容出版"", ""住宅房屋建筑"", ""互联网保险"", ""数据资源与产权交易"", ""数字社会""]","[""银行金融服务"", ""数字金融"", ""数字化零售"", ""供应链管理服务"", ""数字内容出版"", ""住宅房屋建筑"", ""互联网保险"", ""数据资源与产权交易"", ""数字社会""]"
PRO_004040,SUP_0266,1,"[""数字化商务服务"", ""互联网资讯服务"", ""人力资源服务"", ""其他互联网平台"", ""网上税务办理"", ""资本投资服务"", ""咨询与调查"", ""法律服务"", ""银行金融服务""]","[""数字化商务服务"", ""互联网资讯服务"", ""人力资源服务"", ""其他互联网平台"", ""网上税务办理"", ""资本投资服务"", ""咨询与调查"", ""银行金融服务""]"
PRO_001840,SUP_0135,2,"[""银行金融服务"", ""数字化租赁"", ""网络借贷服务"", ""供应链管理服务"", ""其他数字金融"", ""货币银行服务"", ""人身保险""]","[""数字化租赁"", ""网络借贷服务"", ""供应链管理服务"", ""货币银行服务"", ""人身保险""]"
PRO_001839,SUP_0135,2,"[""银行金融服务"", ""数字化商务服务"", ""网络借贷服务"", ""其他数字金融"", ""货币银行服务"", ""人身保险"", ""电信""]","[""数字化商务服务"", ""网络借贷服务"", ""其他数字金融"", ""货币银行服务"", ""人身保险"", ""电信""]"
