name,supplier,observed_count,inferred_topk,missing_topk
PRO_001715,SUP_0122,1,"[""互联网数据服务"", ""互联网平台"", ""软件开发"", ""互联网信息服务"", ""电信"", ""医院"", ""互联网相关服务""]","[""互联网数据服务"", ""互联网平台"", ""软件开发"", ""电信"", ""医院"", ""互联网相关服务""]"
PRO_000732,SUP_0053,1,"[""互联网数据服务"", ""医院"", ""货币银行服务"", ""纺织、服装及家庭用品批发"", ""国家行政机构"", ""其他批发业"", ""不提供住宿社会工作"", ""金融信息服务""]","[""医院"", ""货币银行服务"", ""纺织、服装及家庭用品批发"", ""国家行政机构"", ""其他批发业"", ""不提供住宿社会工作"", ""金融信息服务""]"
PRO_000731,SUP_0053,1,"[""互联网数据服务"", ""医院"", ""货币银行服务"", ""纺织、服装及家庭用品批发"", ""国家行政机构"", ""其他批发业"", ""不提供住宿社会工作"", ""金融信息服务""]","[""医院"", ""货币银行服务"", ""纺织、服装及家庭用品批发"", ""国家行政机构"", ""其他批发业"", ""不提供住宿社会工作"", ""金融信息服务""]"
PRO_000733,SUP_0053,1,"[""互联网数据服务"", ""医院"", ""货币银行服务"", ""纺织、服装及家庭用品批发"", ""国家行政机构"", ""其他批发业"", ""不提供住宿社会工作"", ""金融信息服务""]","[""医院"", ""货币银行服务"", ""纺织、服装及家庭用品批发"", ""国家行政机构"", ""其他批发业"", ""不提供住宿社会工作"", ""金融信息服务""]"
PRO_000734,SUP_0053,1,"[""互联网数据服务"", ""医院"", ""货币银行服务"", ""纺织、服装及家庭用品批发"", ""国家行政机构"", ""其他批发业"", ""不提供住宿社会工作"", ""金融信息服务""]","[""医院"", ""货币银行服务"", ""纺织、服装及家庭用品批发"", ""国家行政机构"", ""其他批发业"", ""不提供住宿社会工作"", ""金融信息服务""]"
PRO_000652,SUP_0038,1,"[""互联网数据服务"", ""其他未列明金融业"", ""货币银行服务"", ""国家行政机构"", ""金融信息服务""]","[""互联网数据服务"", ""其他未列明金融业"", ""货币银行服务"", ""国家行政机构""]"
PRO_000656,SUP_0038,1,"[""其他未列明金融业"", ""软件开发""]","[""软件开发""]"
PRO_000651,SUP_0038,1,"[""其他未列明金融业"", ""软件开发""]","[""软件开发""]"
PRO_000660,SUP_0038,1,"[""其他未列明金融业"", ""软件开发""]","[""软件开发""]"
PRO_000664,SUP_0038,1,"[""其他未列明金融业"", ""软件开发""]","[""软件开发""]"
PRO_000663,SUP_0038,1,"[""其他未列明金融业"", ""软件开发""]","[""软件开发""]"
PRO_000662,SUP_0038,1,"[""其他未列明金融业"", ""软件开发""]","[""软件开发""]"
PRO_000658,SUP_0038,1,"[""其他未列明金融业"", ""软件开发""]","[""软件开发""]"
PRO_000667,SUP_0039,1,"[""互联网相关服务"", ""其他未列明金融业"", ""纺织、服装及家庭用品批发"", ""城市公共交通运输"", ""国家行政机构"", ""金融信息服务"", ""互联网信息服务"", ""农业专业及辅助性活动"", ""互联网数据服务""]","[""互联网相关服务"", ""其他未列明金融业"", ""纺织、服装及家庭用品批发"", ""城市公共交通运输"", ""国家行政机构"", ""金融信息服务"", ""互联网信息服务"", ""农业专业及辅助性活动""]"
PRO_004040,SUP_0266,1,"[""互联网数据服务"", ""互联网信息服务""]","[""互联网信息服务""]"
PRO_001840,SUP_0135,1,"[""互联网数据服务"", ""信息技术咨询服务"", ""法律服务"", ""软件开发"", ""其他信息技术服务业"", ""国家行政机构"", ""婚姻服务"", ""其他批发业"", ""其他未列明金融业""]","[""互联网数据服务"", ""信息技术咨询服务"", ""法律服务"", ""软件开发"", ""其他信息技术服务业"", ""国家行政机构"", ""婚姻服务"", ""其他批发业"", ""其他未列明金融业""]"
PRO_001839,SUP_0135,1,"[""互联网数据服务"", ""信息技术咨询服务"", ""信息技术服务"", ""其他批发业"", ""国家行政机构"", ""婚姻服务"", ""法律服务"", ""电信"", ""互联网信息服务""]","[""互联网数据服务"", ""信息技术咨询服务"", ""信息技术服务"", ""其他批发业"", ""国家行政机构"", ""婚姻服务"", ""法律服务"", ""电信"", ""互联网信息服务""]"
PRO_003992,SUP_0266,1,"[""互联网数据服务"", ""互联网相关服务"", ""货币银行服务"", ""房地产租赁经营""]","[""互联网数据服务"", ""货币银行服务"", ""房地产租赁经营""]"
PRO_001842,SUP_0135,1,"[""法律服务"", ""软件开发"", ""信息技术服务"", ""信息技术咨询服务"", ""其他信息技术服务业"", ""其他未列明金融业"", ""国家行政机构"", ""货币银行服务"", ""化学药品原料药制造"", ""其他未列明制造业""]","[""法律服务"", ""软件开发"", ""信息技术服务"", ""信息技术咨询服务"", ""其他信息技术服务业"", ""其他未列明金融业"", ""国家行政机构"", ""货币银行服务"", ""化学药品原料药制造"", ""其他未列明制造业""]"
PRO_001841,SUP_0135,1,"[""互联网数据服务"", ""其他信息技术服务业"", ""信息技术服务业"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]","[""互联网数据服务"", ""其他信息技术服务业"", ""信息技术服务业"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]"
PRO_001844,SUP_0135,1,"[""其他信息技术服务业"", ""互联网数据服务"", ""信息技术服务业"", ""软件开发"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]","[""其他信息技术服务业"", ""信息技术服务业"", ""软件开发"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]"
PRO_001843,SUP_0135,1,"[""互联网数据服务"", ""其他信息技术服务业"", ""信息技术服务业"", ""软件开发"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]","[""互联网数据服务"", ""信息技术服务业"", ""软件开发"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]"
PRO_001846,SUP_0135,1,"[""其他信息技术服务业"", ""互联网数据服务"", ""信息技术服务业"", ""软件开发"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]","[""其他信息技术服务业"", ""信息技术服务业"", ""软件开发"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]"
PRO_001845,SUP_0135,1,"[""其他信息技术服务业"", ""互联网数据服务"", ""信息技术服务业"", ""软件开发"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]","[""其他信息技术服务业"", ""信息技术服务业"", ""软件开发"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]"
PRO_001848,SUP_0135,1,"[""互联网数据服务"", ""其他信息技术服务业"", ""信息技术服务业"", ""软件开发"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]","[""互联网数据服务"", ""信息技术服务业"", ""软件开发"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]"
PRO_001847,SUP_0135,1,"[""互联网数据服务"", ""其他信息技术服务业"", ""软件开发"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]","[""互联网数据服务"", ""其他信息技术服务业"", ""软件开发"", ""国家行政机构"", ""其他批发业"", ""电信"", ""互联网信息服务""]"
PRO_003909,SUP_0256,1,"[""货币银行服务"", ""互联网相关服务"", ""综合零售"", ""互联网数据服务"", ""数字政府"", ""人力资源服务"", ""其他批发业"", ""医院"", ""不提供住宿社会工作""]","[""货币银行服务"", ""互联网相关服务"", ""综合零售"", ""互联网数据服务"", ""数字政府"", ""人力资源服务"", ""其他批发业"", ""不提供住宿社会工作""]"
PRO_000666,SUP_0039,1,"[""互联网数据服务"", ""其他未列明金融业"", ""纺织、服装及家庭用品批发"", ""城市公共交通运输"", ""国家行政机构"", ""金融信息服务"", ""互联网信息服务"", ""农业专业及辅助性活动""]","[""互联网数据服务"", ""其他未列明金融业"", ""纺织、服装及家庭用品批发"", ""城市公共交通运输"", ""国家行政机构"", ""金融信息服务"", ""互联网信息服务"", ""农业专业及辅助性活动""]"
