u,v,w
PROD::PRO_001715||SUP::SUP_0122,PROD::PRO_001716||SUP::SUP_0122,0.9957445529737673
PROD::PRO_001715||SUP::SUP_0122,PROD::PRO_001711||SUP::SUP_0122,0.9816211312815654
PROD::PRO_001715||SUP::SUP_0122,PROD::PRO_001712||SUP::SUP_0122,0.9807607496614543
PROD::PRO_001715||SUP::SUP_0122,PROD::PRO_001698||SUP::SUP_0122,0.9755814442723209
PROD::PRO_001715||SUP::SUP_0122,PROD::PRO_001709||SUP::SUP_0122,0.578647399828152
PROD::PRO_001715||SUP::SUP_0122,PROD::PRO_001714||SUP::SUP_0122,0.5534355838537522
PROD::PRO_001715||SUP::SUP_0122,PROD::PRO_004189||SUP::SUP_0279,0.5126240977704803
PROD::PRO_001715||SUP::SUP_0122,PROD::PRO_001710||SUP::SUP_0122,0.4794849963146004
PROD::PRO_001715||SUP::SUP_0122,PROD::PRO_000055||SUP::SUP_0021,0.4126178633834986
PROD::PRO_001715||SUP::SUP_0122,PROD::PRO_001633||SUP::SUP_0115,0.388290329262579
PROD::PRO_000732||SUP::SUP_0053,PROD::PRO_000731||SUP::SUP_0053,0.9999999999999994
PROD::PRO_000732||SUP::SUP_0053,PROD::PRO_000733||SUP::SUP_0053,0.9999999999999994
PROD::PRO_000732||SUP::SUP_0053,PROD::PRO_000734||SUP::SUP_0053,0.9999999999999994
PROD::PRO_000732||SUP::SUP_0053,PROD::PRO_003909||SUP::SUP_0256,0.45549334751367676
PROD::PRO_000732||SUP::SUP_0053,PROD::PRO_004608||SUP::SUP_0298,0.3717716217266013
PROD::PRO_000732||SUP::SUP_0053,PROD::PRO_000076||SUP::SUP_0028,0.3394249028731715
PROD::PRO_000732||SUP::SUP_0053,PROD::PRO_000078||SUP::SUP_0029,0.2620461512849318
PROD::PRO_000732||SUP::SUP_0053,PROD::PRO_001194||SUP::SUP_0084,0.25943695919766974
PROD::PRO_000731||SUP::SUP_0053,PROD::PRO_000733||SUP::SUP_0053,0.9999999999999994
PROD::PRO_000731||SUP::SUP_0053,PROD::PRO_000734||SUP::SUP_0053,0.9999999999999994
PROD::PRO_000731||SUP::SUP_0053,PROD::PRO_003909||SUP::SUP_0256,0.45549334751367676
PROD::PRO_000731||SUP::SUP_0053,PROD::PRO_004608||SUP::SUP_0298,0.3717716217266013
PROD::PRO_000731||SUP::SUP_0053,PROD::PRO_000076||SUP::SUP_0028,0.3394249028731715
PROD::PRO_000731||SUP::SUP_0053,PROD::PRO_000078||SUP::SUP_0029,0.2620461512849318
PROD::PRO_000731||SUP::SUP_0053,PROD::PRO_001194||SUP::SUP_0084,0.25943695919766974
PROD::PRO_000733||SUP::SUP_0053,PROD::PRO_000734||SUP::SUP_0053,0.9999999999999994
PROD::PRO_000733||SUP::SUP_0053,PROD::PRO_003909||SUP::SUP_0256,0.45549334751367676
PROD::PRO_000733||SUP::SUP_0053,PROD::PRO_004608||SUP::SUP_0298,0.3717716217266013
PROD::PRO_000733||SUP::SUP_0053,PROD::PRO_000076||SUP::SUP_0028,0.3394249028731715
PROD::PRO_000733||SUP::SUP_0053,PROD::PRO_000078||SUP::SUP_0029,0.2620461512849318
PROD::PRO_000733||SUP::SUP_0053,PROD::PRO_001194||SUP::SUP_0084,0.25943695919766974
PROD::PRO_000734||SUP::SUP_0053,PROD::PRO_003909||SUP::SUP_0256,0.45549334751367676
PROD::PRO_000734||SUP::SUP_0053,PROD::PRO_004608||SUP::SUP_0298,0.3717716217266013
PROD::PRO_000734||SUP::SUP_0053,PROD::PRO_000076||SUP::SUP_0028,0.3394249028731715
PROD::PRO_000734||SUP::SUP_0053,PROD::PRO_000078||SUP::SUP_0029,0.2620461512849318
PROD::PRO_000734||SUP::SUP_0053,PROD::PRO_001194||SUP::SUP_0084,0.25943695919766974
PROD::PRO_000652||SUP::SUP_0038,PROD::PRO_000656||SUP::SUP_0038,0.7821619872239886
PROD::PRO_000652||SUP::SUP_0038,PROD::PRO_000050||SUP::SUP_0019,0.7623640591309493
