dp_id,name_anon,supplier_anon,desc_anon
DP_000025,PRO_000025,SUP_0006,
DP_004695,PRO_004695,SUP_0298,
DP_004643,PRO_004643,SUP_0298,
DP_000886,PRO_000886,SUP_0076,
DP_004671,PRO_004671,SUP_0298,
DP_000903,PRO_000903,SUP_0076,
DP_004600,PRO_004600,SUP_0298,
DP_001805,PRO_001805,SUP_0129,
DP_000898,PRO_000898,SUP_0076,
DP_004611,PRO_004611,SUP_0298,
DP_001803,PRO_001803,SUP_0129,
DP_000906,PRO_000906,SUP_0076,
DP_002897,PRO_002897,SUP_0164,
DP_004580,PRO_004580,SUP_0298,
DP_001804,PRO_001804,SUP_0129,
DP_000902,PRO_000902,SUP_0076,
DP_002898,PRO_002898,SUP_0164,
DP_004613,PRO_004613,SUP_0298,
DP_002924,PRO_002924,SUP_0166,
DP_001802,PRO_001802,SUP_0129,
DP_000900,PRO_000900,SUP_0076,
DP_002899,PRO_002899,SUP_0164,
DP_004608,PRO_004608,SUP_0298,
DP_002946,PRO_002946,SUP_0166,
DP_005620,PRO_005620,SUP_0337,
DP_001790,PRO_001790,SUP_0129,
DP_000901,PRO_000901,SUP_0076,
DP_002902,PRO_002902,SUP_0164,
DP_004690,PRO_004690,SUP_0298,
DP_002935,PRO_002935,SUP_0166,
DP_005516,PRO_005516,SUP_0337,
DP_001798,PRO_001798,SUP_0129,
DP_004325,PRO_004325,SUP_0287,
DP_000899,PRO_000899,SUP_0076,
DP_002901,PRO_002901,SUP_0164,
DP_004566,PRO_004566,SUP_0298,
DP_001801,PRO_001801,SUP_0129,
DP_002925,PRO_002925,SUP_0166,
DP_005486,PRO_005486,SUP_0337,
DP_004322,PRO_004322,SUP_0287,
DP_000921,PRO_000921,SUP_0076,
DP_002903,PRO_002903,SUP_0164,
DP_001563,PRO_001563,SUP_0114,
DP_004565,PRO_004565,SUP_0298,
DP_000693,PRO_000693,SUP_0040,
DP_005622,PRO_005622,SUP_0337,
